unique_id,beschrijvende_id,volledige_naam,Ident_8,lve_nr,Kmp_Rsys,Rijstrook,X_EPSG_31370,Y_EPSG_31370,Lon_EPSG_4326,Lat_EPSG_4326
1030,H205L10,complex Deinze (7),A0141061,126,0.354,R10,93577.577,183390.5005,3.565667196,50.95804548
2361,H192L30,E313 Spitsstrook kmpt. 2,1,A0130001,369,2.94,R12,157247.6495,211257.5047,4.472473367,51.21122954
2360,H192L20,E313 Spitsstrook kmpt. 2,1,A0130001,369,2.94,R11,157247.6495,211257.5047,4.472473367,51.21122954
1029,H207L10,complex Deinze (7),A0141021,126,0.199,R10,93589.5669,183402.605,3.565843452,50.9581506
1028,H291L30,complex Deinze (7),A0140002,126,35.785,R12,93636.4935,183271.9241,3.566531318,50.9569854
2359,H192L10,E313 Spitsstrook kmpt. 2,1,A0130001,369,2.94,R10,157247.6495,211257.5047,4.472473367,51.21122954
1027,H291L20,complex Deinze (7),A0140002,126,35.785,R11,93636.4935,183271.9241,3.566531318,50.9569854
2358,H192L00,E313 Spitsstrook kmpt. 2,1,A0130001,369,2.94,S09,157247.6495,211257.5047,4.472473367,51.21122954
1026,H291L10,complex Deinze (7),A0140002,126,35.785,R10,93636.4935,183271.9241,3.566531318,50.9569854
2357,H192L30,E313 Spitsstrook kmpt. 1,720,A0130001,368,1.661,R12,156819.893,211188.6527,4.466339237,51.21061592
1025,H206L20,complex Merelbeke-ring (7) (noordzijde),R0040991,125,0.26,R11,108037.4359,188803.7411,3.770856429,51.792891
2356,H192L20,E313 Spitsstrook kmpt. 1,720,A0130001,368,1.661,R11,156819.893,211188.6527,4.466339237,51.21061592
1024,H206L10,complex Merelbeke-ring (7) (noordzijde),R0040991,125,0.26,R10,108037.4359,188803.7411,3.770856429,51.792891
2355,H192L10,E313 Spitsstrook kmpt. 1,720,A0130001,368,1.661,R10,156819.893,211188.6527,4.466339237,51.21061592
1023,H208L10,complex Merelbeke-ring (7) (noordzijde),R0040911,125,0.18,R10,107998.955,188828.5405,3.770293072,51.814898
2354,H192L00,E313 Spitsstrook kmpt. 1,720,A0130001,368,1.661,S09,156819.893,211188.6527,4.466339237,51.21061592
3685,H292L40,Halve snede kmpt. 99.7,A0140001,494,99.7,R13,148413.851,211351.9373,4.346047502,51.21212238
3686,H292L10,Halve snede kmpt. 14,9,R0010002,495,14.973,R10,149529.1363,211418.2943,4.362018776,51.21272072
3687,H292L20,Halve snede kmpt. 14,9,R0010002,495,14.973,R11,149529.1363,211418.2943,4.362018776,51.21272072
3688,H292L30,Halve snede kmpt. 14,9,R0010002,495,14.973,R12,149529.1363,211418.2943,4.362018776,51.21272072
3689,S206L10,Halve snede kmpt. 14,9,R0011261,495,0.744,R10,149511.3675,211464.9863,4.361764434,51.21314039
1044,S108L20,complex Stabroek (13) (deel 1),A0122611,128,0.126,R11,148760.9815,223812.4217,4.350985046,51.32412075
2375,H192L10,E313 Spitsstrook kmpt. 4,495,A0130001,373,4.937,R10,160076.7315,211326.363,4.512960263,51.21180284
1043,S108L10,complex Stabroek (13) (deel 1),A0122611,128,0.126,R10,148760.9815,223812.4217,4.350985046,51.32412075
